"cell_line","condition_linked","metabolite","rep","slope","r2"
"EV","EV_0","Arg",1,-6.27831083346466e-11,0.626766612109061
"EV","EV_0","Asn",2,-6.29851059179368e-12,0.545942440268068
"EV","EV_0","Asp",1,-1.74722318914244e-10,0.782550063526089
"EV","EV_0","Asp",2,-2.3014443472793e-10,0.87718223454369
"EV","EV_0","Glu",1,-9.1446984401416e-12,0.798239967646839
"EV","EV_0","Glu",2,-1.16990519660491e-11,0.776279091952647
"EV","EV_0","Glucose",1,-1.56151262475813e-09,0.995154222444895
"EV","EV_0","His",1,-1.5615873826491e-11,0.618722805611362
"EV","EV_0","Lactate",1,6.57721946374672e-10,0.921284776041787
"EV","EV_0","Met",1,-7.80853420041761e-12,0.560841242422925
"EV","EV_0","Ser",1,-3.2232670459752e-11,0.719727210022257
"EV","EV_0","Ser",2,-3.06424712697885e-11,0.699676040474961
"EV","EV_0","Thr",1,-3.29135276996805e-11,0.613003021796863
"EV","EV_0","Trp",1,-5.36131516307953e-12,0.759035306546746
"EV","EV_0","Trp",2,-3.82778652302431e-12,0.582693313374342
"EV","EV_0","Tyr",2,-1.86140152612294e-11,0.73611481538881
"EV","EV_0","Val",1,-3.0843231547557e-11,0.965556932631974
"EV","EV_0","Val",2,-2.82975057072002e-11,0.821965012953175
"EV","EV_1000","Arg",1,-4.97653421946807e-11,0.672630819225285
"EV","EV_1000","Arg",2,-3.89133347204153e-11,0.506618213703919
"EV","EV_1000","Asn",1,-5.48405727658454e-12,0.683288335567267
"EV","EV_1000","Asp",1,-1.24064869180874e-10,0.623707353780344
"EV","EV_1000","Asp",2,-1.99426247322162e-10,0.960412513939164
"EV","EV_1000","Glu",1,-7.13151582325375e-12,0.637937999389572
"EV","EV_1000","Glu",2,-1.02900700489126e-11,0.767564058625626
"EV","EV_1000","Glucose",1,-1.44688696504025e-09,0.987939894300663
"EV","EV_1000","His",1,-1.80737138329106e-11,0.615745889791791
"EV","EV_1000","His",2,-1.85308554496282e-11,0.569903866544853
"EV","EV_1000","Lactate",1,7.12307425384858e-10,0.961476588122637
"EV","EV_1000","Met",1,-1.10814517173019e-11,0.541182070452688
"EV","EV_1000","Ser",1,-2.51909322106843e-11,0.605893165077487
"EV","EV_1000","Ser",2,-3.61686511782137e-11,0.750453630503352
"EV","EV_1000","Thr",1,-3.51111262112924e-11,0.589018962561752
"EV","EV_1000","Thr",2,-3.07946640408867e-11,0.676950245972274
"EV","EV_1000","Trp",2,-5.66529826950233e-12,0.7078965630405
"EV","EV_1000","Val",1,-2.96694214512621e-11,0.857065139867443
"EV","EV_1000","Val",2,-2.50171152463659e-11,0.80605192948878
"MYC","MYC_0","Arg",1,-8.38823333854901e-11,0.75599031362567
"MYC","MYC_0","Arg",2,-6.22146268414468e-11,0.808685691521344
"MYC","MYC_0","Asn",1,-7.47792419972442e-12,0.739928708410549
"MYC","MYC_0","Asn",2,-8.20024007709339e-12,0.753542133025647
"MYC","MYC_0","Asp",1,-2.0676556246147e-10,0.87334902790974
"MYC","MYC_0","Asp",2,-2.4854676441082e-10,0.869595099704686
"MYC","MYC_0","Glu",1,-1.69222212702641e-11,0.713451464410506
"MYC","MYC_0","Glu",2,-1.90813930406648e-11,0.829460173808288
"MYC","MYC_0","Glucose",1,-2.03670785832946e-09,0.98056721881101
"MYC","MYC_0","His",1,-1.87461419978721e-11,0.734946727405926
"MYC","MYC_0","His",2,-2.7037517696189e-11,0.957038602240306
"MYC","MYC_0","Lactate",1,6.24609367018261e-10,0.462324921978909
"MYC","MYC_0","Met",1,-2.02906185909971e-11,0.847160680243178
"MYC","MYC_0","Met",2,-1.60640735904327e-11,0.743281301038383
"MYC","MYC_0","Phe",1,-4.24005917726079e-11,0.761019040491332
"MYC","MYC_0","Phe",2,-1.78333621417083e-11,0.507792490737941
"MYC","MYC_0","Ser",1,-5.79111330570336e-11,0.976743702476813
"MYC","MYC_0","Ser",2,-6.03431826521644e-11,0.943366851101048
"MYC","MYC_0","Thr",1,-4.74143295044866e-11,0.762522045939149
"MYC","MYC_0","Thr",2,-6.12157952388786e-11,0.882747357906512
"MYC","MYC_0","Trp",1,-5.72660607077315e-12,0.865918112241861
"MYC","MYC_0","Trp",2,-6.27208741420091e-12,0.895585159886445
"MYC","MYC_0","Tyr",1,-3.10101600297885e-11,0.893807784706003
"MYC","MYC_0","Tyr",2,-2.35837762305168e-11,0.800827656070936
"MYC","MYC_0","Val",1,-7.75305628883248e-11,0.902664691764536
"MYC","MYC_0","Val",2,-7.16345548776887e-11,0.963953576200848
"MYC","MYC_1000","Arg",1,-1.37871365714691e-10,0.979533816195863
"MYC","MYC_1000","Arg",2,-1.33634580103533e-10,0.956584267585058
"MYC","MYC_1000","Asn",1,-8.99464416463231e-12,0.574945565107201
"MYC","MYC_1000","Asn",2,-1.02592242723898e-11,0.873443966441526
"MYC","MYC_1000","Asp",1,-1.93737365003531e-10,0.832397776813887
"MYC","MYC_1000","Asp",2,-2.08360127343542e-10,0.934707465148794
"MYC","MYC_1000","Glu",1,-4.12656656357977e-11,0.99536312430401
"MYC","MYC_1000","Glu",2,-3.9908719519512e-11,0.979497943496602
"MYC","MYC_1000","Glucose",1,-3.21373537997676e-09,0.975282315059928
"MYC","MYC_1000","His",1,-2.70731391000455e-11,0.75240156838852
"MYC","MYC_1000","His",2,-2.25731436353683e-11,0.949195409981074
"MYC","MYC_1000","Lactate",1,2.66496542996622e-09,0.909857129455132
"MYC","MYC_1000","Met",1,-2.9401813883104e-11,0.973920570532366
"MYC","MYC_1000","Met",2,-2.30428962117814e-11,0.926222964010194
"MYC","MYC_1000","Phe",1,-3.01578528106971e-11,0.78868363954132
"MYC","MYC_1000","Phe",2,-3.29133351105111e-11,0.828877995194496
"MYC","MYC_1000","Ser",1,-6.65283454783197e-11,0.932021863981781
"MYC","MYC_1000","Ser",2,-5.72928185915915e-11,0.945137361912427
"MYC","MYC_1000","Thr",1,-7.69666975564112e-11,0.924483951561568
"MYC","MYC_1000","Thr",2,-8.18748594544406e-11,0.928570933168128
"MYC","MYC_1000","Trp",1,-8.78260193927162e-12,0.87743367649059
"MYC","MYC_1000","Trp",2,-9.11270400874903e-12,0.954028293459593
"MYC","MYC_1000","Tyr",1,-3.44171729964114e-11,0.888838078926066
"MYC","MYC_1000","Tyr",2,-3.03158714277459e-11,0.838222805573996
"MYC","MYC_1000","Val",1,-9.30882660418094e-11,0.950993490124272
"MYC","MYC_1000","Val",2,-8.06704174503676e-11,0.959432085077978
"MYC","MYC_160","Arg",1,-9.75817760145666e-11,0.9106829172774
"MYC","MYC_160","Arg",2,-8.84522848678213e-11,0.809129073195274
"MYC","MYC_160","Asn",1,-8.65364399483817e-12,0.895145003063052
"MYC","MYC_160","Asn",2,-6.73251686873738e-12,0.833587640711127
"MYC","MYC_160","Asp",1,-2.17443342445664e-10,0.977630518807485
"MYC","MYC_160","Asp",2,-1.9225530440132e-10,0.944675612462444
"MYC","MYC_160","Glu",1,-1.95015998620257e-11,0.818884072808422
"MYC","MYC_160","Glu",2,-1.901592947198e-11,0.926323616918622
"MYC","MYC_160","Glucose",1,-2.07954779785554e-09,0.962772915662616
"MYC","MYC_160","His",1,-2.37984282454501e-11,0.753685505730695
"MYC","MYC_160","His",2,-1.53826129314983e-11,0.651816518459335
"MYC","MYC_160","Lactate",1,8.30964210137983e-10,0.53063334406553
"MYC","MYC_160","Met",1,-2.24840754878106e-11,0.886855192832604
"MYC","MYC_160","Met",2,-2.71760991893034e-11,0.950316624626575
"MYC","MYC_160","Phe",2,-2.66746396893176e-11,0.652682637428336
"MYC","MYC_160","Ser",1,-5.39796971022349e-11,0.964966058009294
"MYC","MYC_160","Ser",2,-4.74118913403811e-11,0.951580064513789
"MYC","MYC_160","Thr",1,-6.16605914200398e-11,0.953717109439028
"MYC","MYC_160","Thr",2,-5.73552832072466e-11,0.874440541451335
"MYC","MYC_160","Trp",1,-5.26909617589694e-12,0.895429614622267
"MYC","MYC_160","Trp",2,-5.94962057895262e-12,0.935793872186558
"MYC","MYC_160","Tyr",1,-3.02483711064982e-11,0.868195720807891
"MYC","MYC_160","Tyr",2,-3.3274651703734e-11,0.915440310192464
"MYC","MYC_160","Val",1,-7.2155938533775e-11,0.956450463218713
"MYC","MYC_160","Val",2,-7.10997802264914e-11,0.986027694052001
"MYC","MYC_80","Arg",1,-7.16379390816808e-11,0.82874199672215
"MYC","MYC_80","Arg",2,-7.85023735073059e-11,0.827166124755934
"MYC","MYC_80","Asn",1,-9.17099935026533e-12,0.56247952787927
"MYC","MYC_80","Asn",2,-7.45241448476206e-12,0.84569613399399
"MYC","MYC_80","Asp",1,-1.50447249725558e-10,0.943901656777697
"MYC","MYC_80","Asp",2,-1.68869004675687e-10,0.942528631354779
"MYC","MYC_80","Glu",1,-1.84513785502095e-11,0.886607700773192
"MYC","MYC_80","Glu",2,-1.84160040930628e-11,0.807495571442526
"MYC","MYC_80","Glucose",1,-2.10217123842742e-09,0.96819154009669
"MYC","MYC_80","His",1,-2.40111190157812e-11,0.63504388018242
"MYC","MYC_80","Lactate",1,5.10595739715835e-10,0.423769629819982
"MYC","MYC_80","Met",1,-1.21465027718852e-11,0.860002410020584
"MYC","MYC_80","Met",2,-1.70426301742389e-11,0.589415766978624
"MYC","MYC_80","Phe",1,-3.01213170861896e-11,0.677037520773776
"MYC","MYC_80","Phe",2,-2.2221141437317e-11,0.934419255632984
"MYC","MYC_80","Ser",1,-4.33859542139131e-11,0.947591035871166
"MYC","MYC_80","Ser",2,-4.04844216822255e-11,0.93534699361063
"MYC","MYC_80","Thr",1,-6.07934854307888e-11,0.947402374655292
"MYC","MYC_80","Thr",2,-3.95153647628734e-11,0.778095781353257
"MYC","MYC_80","Trp",1,-6.81939421975578e-12,0.900922865809429
"MYC","MYC_80","Trp",2,-5.35351428802684e-12,0.89155959714921
"MYC","MYC_80","Tyr",1,-1.80636024963847e-11,0.616517269518983
"MYC","MYC_80","Tyr",2,-1.7001656743979e-11,0.849494445945013
"MYC","MYC_80","Val",1,-6.87196977822066e-11,0.886637352871949
"MYC","MYC_80","Val",2,-6.40636005741639e-11,0.940931084303516
"TP53R175H_MYC","TP53R175H_MYC_0","Arg",1,-9.04329987123724e-11,0.833328363854956
"TP53R175H_MYC","TP53R175H_MYC_0","Arg",2,-9.80764700716037e-11,0.917299872100574
"TP53R175H_MYC","TP53R175H_MYC_0","Asn",1,-7.29068495804161e-12,0.769278482574322
"TP53R175H_MYC","TP53R175H_MYC_0","Asn",2,-5.23959417418264e-12,0.702271380556891
"TP53R175H_MYC","TP53R175H_MYC_0","Asp",1,-2.71925041069798e-10,0.976760993848908
"TP53R175H_MYC","TP53R175H_MYC_0","Asp",2,-2.36086610871705e-10,0.978080358460833
"TP53R175H_MYC","TP53R175H_MYC_0","Glu",1,-1.41020557516784e-11,0.782076357479171
"TP53R175H_MYC","TP53R175H_MYC_0","Glu",2,-1.68704304975604e-11,0.892250027771917
"TP53R175H_MYC","TP53R175H_MYC_0","Glucose",1,-2.28633712310344e-09,0.990732232364559
"TP53R175H_MYC","TP53R175H_MYC_0","His",1,-2.12417040878488e-11,0.706786594620494
"TP53R175H_MYC","TP53R175H_MYC_0","His",2,-2.62348684114512e-11,0.957236490406493
"TP53R175H_MYC","TP53R175H_MYC_0","Lactate",1,1.06097017368924e-09,0.98475370394752
"TP53R175H_MYC","TP53R175H_MYC_0","Met",1,-2.40068450496148e-11,0.854249999636718
"TP53R175H_MYC","TP53R175H_MYC_0","Met",2,-1.55300049610193e-11,0.886944674607984
"TP53R175H_MYC","TP53R175H_MYC_0","Phe",1,-2.59623503221055e-11,0.889868923238543
"TP53R175H_MYC","TP53R175H_MYC_0","Phe",2,-2.47018578070516e-11,0.919285841346643
"TP53R175H_MYC","TP53R175H_MYC_0","Ser",1,-5.57803852177774e-11,0.942541025702172
"TP53R175H_MYC","TP53R175H_MYC_0","Ser",2,-4.75617609710405e-11,0.974689006109564
"TP53R175H_MYC","TP53R175H_MYC_0","Thr",1,-6.49140143308898e-11,0.903247750575144
"TP53R175H_MYC","TP53R175H_MYC_0","Thr",2,-6.33892999982156e-11,0.787755920922231
"TP53R175H_MYC","TP53R175H_MYC_0","Trp",1,-7.84626598822866e-12,0.859673684303519
"TP53R175H_MYC","TP53R175H_MYC_0","Trp",2,-6.21591240831464e-12,0.858562002511612
"TP53R175H_MYC","TP53R175H_MYC_0","Tyr",1,-2.79466707556392e-11,0.783044506500076
"TP53R175H_MYC","TP53R175H_MYC_0","Tyr",2,-3.04720436911652e-11,0.778927747131224
"TP53R175H_MYC","TP53R175H_MYC_0","Val",1,-4.28876790039877e-11,0.837765640710731
"TP53R175H_MYC","TP53R175H_MYC_0","Val",2,-3.99617261362455e-11,0.988167287250508
"TP53R175H_MYC","TP53R175H_MYC_1000","Arg",1,-1.78615258332597e-10,0.975896280031881
"TP53R175H_MYC","TP53R175H_MYC_1000","Arg",2,-1.88192414275825e-10,0.979451428248224
"TP53R175H_MYC","TP53R175H_MYC_1000","Asn",1,-1.14884479331061e-11,0.830353534738574
"TP53R175H_MYC","TP53R175H_MYC_1000","Asn",2,-1.07635353032441e-11,0.842002735359779
"TP53R175H_MYC","TP53R175H_MYC_1000","Asp",1,-2.31043310913574e-10,0.818046356252115
"TP53R175H_MYC","TP53R175H_MYC_1000","Asp",2,-3.28862546358208e-10,0.777998710638038
"TP53R175H_MYC","TP53R175H_MYC_1000","Glu",1,-2.89639697244755e-11,0.919843915510614
"TP53R175H_MYC","TP53R175H_MYC_1000","Glu",2,-2.81889221966621e-11,0.933434878299562
"TP53R175H_MYC","TP53R175H_MYC_1000","Glucose",1,-5.07575670807778e-09,0.989571885191631
"TP53R175H_MYC","TP53R175H_MYC_1000","His",1,-4.61795853756701e-11,0.959742563589931
"TP53R175H_MYC","TP53R175H_MYC_1000","His",2,-3.82785356982091e-11,0.97157808422511
"TP53R175H_MYC","TP53R175H_MYC_1000","Lactate",1,4.21269037807852e-09,0.986864203611182
"TP53R175H_MYC","TP53R175H_MYC_1000","Met",1,-3.31984342006034e-11,0.970174792186193
"TP53R175H_MYC","TP53R175H_MYC_1000","Met",2,-3.17471133561695e-11,0.960576060043637
"TP53R175H_MYC","TP53R175H_MYC_1000","Phe",1,-5.8013390354822e-11,0.984662437630662
"TP53R175H_MYC","TP53R175H_MYC_1000","Phe",2,-5.10582814366583e-11,0.977716601246791
"TP53R175H_MYC","TP53R175H_MYC_1000","Ser",1,-8.13202816486057e-11,0.969429911148396
"TP53R175H_MYC","TP53R175H_MYC_1000","Ser",2,-8.66759533275005e-11,0.953708181721977
"TP53R175H_MYC","TP53R175H_MYC_1000","Thr",1,-1.16952558726759e-10,0.931658163789677
"TP53R175H_MYC","TP53R175H_MYC_1000","Thr",2,-1.21449490073312e-10,0.94340263481786
"TP53R175H_MYC","TP53R175H_MYC_1000","Trp",1,-1.18381646286874e-11,0.96621818169637
