timepoint,EV_0_1,EV_0_2,EV_0_3,MYC_0_1,MYC_0_2,MYC_0_3,EV_100_1,EV_100_2,EV_100_3,MYC_100_1,MYC_100_2,MYC_100_3,EV_1000_1,EV_1000_2,EV_1000_3,MYC_1000_1,MYC_1000_2,MYC_1000_3,TP53R175H_0_1,TP53R175H_0_2,TP53R175H_0_3,TM_0_1,TM_0_2,TM_0_3,TP53R175H_100_1,TP53R175H_100_2,TP53R175H_100_3,TM_100_1,TM_100_2,TM_100_3,TP53R175H_1000_1,TP53R175H_1000_2,TP53R175H_1000_3,TM_1000_1,TM_1000_2,TM_1000_3
0,30.04752,30.52816,31.80033,34.35546,36.2717,36.0858,30.8986,32.66714,31.76282,36.72596,37.97815,37.39715,31.81711,33.17475,32.88398,37.0262,35.27328,36.81274,34.52534,36.68145,37.41633,30.31886,30.98351,31.17934,34.37667,37.23094,36.10764,32.86814,31.09453,30.00524,34.93155,35.05286,35.80938,31.78865,30.8399,29.8841
1,30.89998,31.03206,33.05882,36.56291,37.5697,38.03002,30.98453,33.27896,32.33254,38.3683,39.41293,38.56631,32.55535,33.92603,33.52682,37.61032,37.65653,38.451,35.31227,36.97827,37.74063,30.69233,31.56376,31.80574,35.08467,38.29255,36.31236,32.82861,31.5741,30.90877,35.11361,35.86669,36.16278,32.39424,31.35093,30.22962
2,31.61418,31.62086,33.60217,37.64348,40.56754,39.47343,32.3966,34.45692,33.10368,40.22649,40.92341,40.70498,33.02492,34.53172,34.6649,38.85468,39.19733,38.87781,35.94745,38.11848,38.87689,31.92294,32.7303,32.70074,36.88075,38.71346,38.02705,34.12507,32.59976,31.86935,36.35902,36.72993,37.58923,33.67838,32.12798,31.27722
3,31.49229,32.8914,34.07677,37.80223,40.47691,40.08261,32.87009,35.56808,33.5072,40.72544,40.69641,40.34295,33.74371,34.97136,35.1385,39.48194,38.62823,39.54416,36.8853,38.86728,39.40802,31.79639,32.76132,32.76883,36.67699,38.53482,38.02807,33.86412,32.69334,32.18191,36.62956,37.21589,37.30084,32.90076,32.56436,31.49224
4,32.10888,32.91313,34.94101,39.53967,41.35437,41.0101,33.57046,36.66582,34.49643,41.72944,41.73279,42.18867,34.70568,36.16366,36.2301,40.35686,39.44305,40.26711,37.78769,40.03067,40.44416,33.15754,34.21751,33.40593,37.38174,40.00282,39.32359,34.75616,33.97659,33.01337,37.92641,39.52486,38.68145,33.8572,33.8248,32.36075
5,33.39045,34.16625,35.92051,40.79463,42.96307,43.22218,34.98051,37.91132,35.43302,42.43382,42.38806,43.84988,35.8978,37.35613,37.24897,41.10534,41.32454,41.93965,38.56287,41.62598,41.12753,33.91943,35.01028,34.75335,39.32298,41.28984,40.02377,35.74257,34.96537,34.3341,39.06098,40.99737,39.84224,35.56173,34.80755,33.47163
6,34.59908,35.58962,37.45716,42.45515,45.04302,45.85772,36.29766,39.05035,37.1575,43.07738,45.25128,44.956,37.55489,38.44231,38.28379,43.4873,42.45018,43.40095,40.64967,43.03202,43.2941,35.44091,36.42865,36.17305,40.41516,42.96578,42.06138,37.79674,36.26907,35.55109,41.49862,41.80244,41.31742,36.79551,36.14471,34.77053
7,36.11676,37.14957,38.31854,44.26855,47.34739,46.31535,37.55161,40.55641,38.39716,44.85829,45.27548,46.31451,38.78544,39.63881,39.66948,44.25763,43.85466,43.87772,42.04653,44.28809,44.71273,36.57535,38.18655,37.59899,41.89364,44.79673,43.95232,39.20561,37.59782,36.89772,42.86242,43.50128,42.85878,38.1722,38.15395,36.29786
8,36.47574,38.07296,39.46421,44.29949,47.51739,48.3842,38.06635,41.79956,39.07999,45.51925,46.63655,46.46762,40.25309,40.48538,40.71769,45.42599,44.21902,45.58722,43.15398,46.09823,45.66582,37.25623,38.576,38.87246,43.65446,45.75059,44.5597,39.9366,38.87118,38.04171,43.55252,45.72044,43.97346,39.15776,39.0985,37.23915
9,37.94934,38.87426,40.88049,46.12283,49.76502,48.18732,39.07045,42.0682,40.11189,46.33972,47.75256,48.61695,40.88851,41.62928,42.11718,46.38326,49.53637,47.38949,44.3942,46.63297,47.12303,38.86343,40.15376,40.0348,44.87256,47.01137,45.90961,41.09874,39.70918,39.38147,44.72777,47.02094,45.61824,40.63294,40.38823,38.50505
10,38.55452,39.23321,42.04577,47.67671,50.66948,49.51254,40.64492,43.43396,41.5578,47.04228,48.14748,48.05778,42.39404,42.38802,42.34149,47.09839,46.63733,47.39391,45.6297,48.60122,48.06373,39.64711,40.66689,41.37788,45.74076,48.63651,46.93771,42.293,40.73389,40.28144,45.95856,48.44772,46.6755,41.94884,41.56305,40.52422
11,40.1975,40.25668,43.01808,50.03829,51.58916,50.51704,41.34838,44.45878,42.11704,48.1272,48.57592,49.69192,42.5248,43.76272,44.03741,49.98176,48.38114,48.01302,47.3229,49.65904,48.64681,40.84143,41.73051,42.41423,46.36992,49.7721,48.54022,43.24283,42.44419,42.31005,47.41509,50.1032,47.87247,43.78951,43.24879,42.15464
12,41.3139,41.5826,43.51584,49.76445,52.60831,51.67434,42.19501,45.08122,44.40644,49.30834,49.80645,50.98018,44.2922,45.27017,45.17733,49.83685,48.89789,49.83438,47.59822,50.82491,50.18857,42.22292,42.81676,43.71672,48.17571,51.3518,49.60902,44.78828,43.46961,43.15372,48.47059,50.92507,49.27962,45.15556,44.1215,43.13737
13,42.81122,43.07782,45.52831,51.90526,53.51361,54.88243,43.79875,46.4812,44.81281,50.42392,51.79246,51.21739,45.99567,46.17704,46.24764,50.4496,50.18041,52.14765,49.24968,52.2746,51.5,43.73949,45.4282,45.34213,49.31651,52.72761,50.91911,46.70678,44.94098,44.68461,49.92408,52.3354,49.83594,46.77472,45.5048,45.14981
14,46.8795,44.82958,47.81899,53.54678,56.84863,56.38007,45.54467,48.7537,47.37257,53.3044,53.85984,53.99614,47.54014,47.61058,48.31991,52.62337,51.66065,54.20459,51.20563,54.5774,53.27276,44.61056,46.2688,47.14585,51.59878,54.90164,52.39141,49.14828,47.35238,46.70004,52.09237,54.8776,52.59187,48.57827,48.04087,47.64942
