timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
0,23.90439,20.4539,24.14879,22.84864,23.02761,22.9072,23.22723,24.83434,25.1009,23.28403,24.58472,23.93118,24.11043,26.11343,26.72298,24.53583,25.61754,25.1986,23.99061,27.66308,29.3842,23.19389,25.22478,24.13804,25.19113,28.58313,26.74578,22.74674,24.57603,23.30497,23.13592,25.5792,23.97788,17.59636,18.14552,18.84851
1,24.5906,20.8822,24.50883,22.86272,23.14474,23.19084,24.26979,25.32658,25.83283,23.72846,25.35396,23.96844,24.91872,26.99231,27.65742,25.04296,25.75865,25.21073,24.99661,28.61303,30.12661,23.52592,25.66781,24.33998,26.17152,29.14333,27.0184,23.07767,25.17546,23.66738,23.81216,26.36094,24.74387,17.93096,18.24215,19.16031
2,25.12523,21.48492,25.273,23.52379,24.07164,23.50409,24.72148,26.08705,26.50233,24.23628,25.47842,24.53686,25.28266,28.27945,28.13828,25.40665,26.17486,25.44109,25.47337,29.03707,30.60558,23.98045,25.84224,24.82178,26.8703,29.57678,27.62086,23.42774,25.39921,23.93312,24.78932,26.95575,25.44796,18.07541,18.66297,19.61125
3,25.90627,22.2237,25.94061,24.01396,24.44262,23.97257,25.71146,26.77656,27.31139,24.73585,25.93093,25.15537,26.03773,29.04059,29.08599,26.07593,26.66942,25.76578,26.21339,29.95988,30.97844,24.18,26.53192,25.29061,27.84068,30.27777,28.08866,23.54428,25.80569,24.34192,25.39799,27.73927,26.15806,18.47756,19.20465,19.87428
4,27.11263,22.70322,26.64236,24.99435,25.16405,24.69283,26.66059,27.85851,28.60403,25.36086,26.83675,25.77054,27.1325,29.86447,30.10084,26.71028,27.25458,26.38886,27.0794,30.68317,31.7088,24.92457,27.43148,25.87373,28.2226,30.89098,28.45477,24.12861,26.21116,24.55507,26.17594,28.54074,27.35273,18.88491,19.71915,20.36134
5,27.80476,23.37886,27.92392,25.67548,25.8057,25.54286,27.13278,28.7965,29.43186,26.24433,27.88534,26.60148,27.79627,30.80777,30.96064,27.61549,28.2336,27.26225,27.64265,31.37543,32.52555,25.10687,27.91093,26.74775,29.09678,31.46463,29.30712,25.22559,27.42693,25.7226,27.03449,28.83422,27.87819,19.37819,20.45231,21.13921
6,28.78027,24.02802,29.05521,26.36005,26.95852,26.44723,28.20278,29.87116,30.81566,27.31495,28.83147,27.67573,29.10194,32.02641,31.85284,28.55799,29.29079,28.15209,28.33906,31.84484,33.14994,25.88397,28.93222,27.72111,29.79498,32.7658,29.78461,25.86751,27.89955,26.38996,27.56858,29.72631,28.45827,20.00029,20.90766,21.74216
7,30.21283,24.69985,30.13644,27.42629,28.18359,27.53855,29.21308,30.90655,31.75494,28.23594,30.26331,28.91972,30.01892,33.08818,33.22878,30.01769,30.88458,29.49396,29.3683,32.70613,34.00449,26.6809,30.51875,29.2684,30.89992,33.18201,31.22528,26.57694,29.5939,28.1364,28.6287,30.58142,29.23139,21.01211,22.13417,22.9919
8,31.07736,25.54369,31.68767,28.05559,29.18999,28.79102,30.12328,31.9889,33.36042,29.03488,31.17105,30.29357,31.21332,34.32217,34.43704,31.22667,32.29423,30.57167,30.51793,33.78204,35.40817,27.49276,31.87051,30.27388,32.07877,34.53547,31.80537,27.97849,31.14921,28.98404,29.61807,31.66121,30.50224,21.9454,23.0218,23.67098
9,32.20325,26.5002,33.38564,29.38482,30.42308,30.14251,30.78429,33.48282,34.50451,30.29157,32.29401,31.49375,32.17553,35.67278,35.992,32.33028,33.00467,31.38443,31.25969,35.07013,36.92205,28.32858,32.68443,31.17429,33.0104,35.39448,33.27953,28.70312,32.46568,30.3931,30.28775,32.96958,32.29955,22.5467,24.00986,24.66692
10,32.58855,27.37884,33.77308,29.97134,30.80106,30.52027,31.33587,34.34937,35.41998,30.67736,32.72726,32.10053,32.91369,36.84758,36.34581,32.43983,33.6392,31.82201,31.71895,34.79199,36.60672,28.95087,33.57563,32.26626,33.37078,36.64608,32.63187,28.90881,32.51042,31.25172,30.97506,32.79267,31.95084,23.06504,24.62162,25.6598
11,33.52544,28.08776,35.32058,31.02757,32.04222,31.2717,32.40207,35.51144,36.42841,31.70768,33.87695,33.41367,33.7114,38.28312,37.61522,33.32629,34.87987,32.97047,33.07698,35.85302,37.58213,29.58367,35.18353,33.87786,34.19832,38.31716,34.06064,30.06312,34.04046,32.92427,31.85048,33.81032,33.2865,24.02037,26.05768,26.62722
12,34.56944,29.27504,36.65231,31.65438,33.12325,32.30887,33.38214,36.27722,37.20366,32.83536,35.13255,34.71572,34.75064,39.38367,39.20398,34.89347,36.11384,33.85963,34.28833,36.92675,39.45919,31.54294,36.88329,35.13049,36.00305,39.6243,36.00555,31.47629,35.64073,34.36145,32.93408,35.49908,35.08746,24.97629,27.24636,27.91224
