"","condition_linked","mean_k","sd_k","lb","ub"
"1","EV_0",0.00321276752777776,0.00289723645809585,0.000315531069681914,0.0061100039858736
"2","EV_1000",0.00279550227777778,0.00288541791240391,0,0.00568092019018169
"3","MYC_0",0.00447097595833333,0.00304852211836021,0.00142245383997312,0.00751949807669355
"4","MYC_80",0.00529980318750001,0.00101664907968643,0.00428315410781358,0.00631645226718645
"5","MYC_160",0.00494498146875,0.00129156307748055,0.00365341839126945,0.00623654454623055
"6","MYC_1000",0.00590295069791668,0.00513422779569366,0.000768722902223017,0.0110371784936103
"7","TP53R175H_MYC_0",0.00511086861458332,0.00156469550500809,0.00354617310957523,0.00667556411959141
"8","TP53R175H_MYC_80",0.00424658134375,0.00290243433475744,0.00134414700899256,0.00714901567850743
"9","TP53R175H_MYC_160",0.00914156152083333,0.00351780062074887,0.00562376090008446,0.0126593621415822
"10","TP53R175H_MYC_1000",0.0140891405729167,0.00446399250778968,0.009625148065127,0.0185531330807064
"11","TP53R248Q_MYC_0",0.00288748570833334,0.00225564986608194,0.000631835842251398,0.00514313557441529
"12","TP53R248Q_MYC_80",0.00480987078124999,0.00287423171443148,0.00193563906681851,0.00768410249568147
"13","TP53R248Q_MYC_160",0.00872205800520833,0.00416250908053083,0.0045595489246775,0.0128845670857392
"14","TP53R248Q_MYC_1000",0.013282514921875,0.00320127160221628,0.0100812433196587,0.0164837865240913
"15","TP53R273H_MYC_0",0.00499383341666665,0.00331406483505156,0.00167976858161509,0.00830789825171821
"16","TP53R273H_MYC_80",0.004864124671875,0.00304769516718536,0.00181642950468964,0.00791181983906036
"17","TP53R273H_MYC_160",0.00810308689062499,0.0036328246239633,0.0044702622666617,0.0117359115145883
"18","TP53R273H_MYC_1000",0.0112925976979167,0.00308786146301021,0.00820473623490645,0.0143804591609269
