"","condition_linked","rep","n24","n72","k","subline"
"1","EV_0",1,8.970422594,8.976902802,0.000135004333333318,"EV"
"2","EV_0",2,8.958599435,9.241185745,0.00588721479166665,"EV"
"3","EV_0",4,9.378182984,9.55175499,0.00361608345833331,"EV"
"4","EV_1000",1,8.893577103,8.901859709,0.000172554291666664,"EV"
"5","EV_1000",2,8.738051525,9.020590573,0.00588623016666667,"EV"
"6","EV_1000",4,9.303240449,9.414971123,0.00232772237500001,"EV"
"7","MYC_0",1,8.784519708,8.836597495,0.00108495389583333,"MYC"
"8","MYC_0",2,8.85595897,9.191835633,0.00699743047916668,"MYC"
"9","MYC_0",4,9.250853997,9.506720085,0.00533054349999999,"MYC"
"10","MYC_1000",1,8.6552551,8.701646802,0.000966493791666689,"MYC"
"11","MYC_1000",2,8.693242622,9.279923209,0.0122225122291667,"MYC"
"12","MYC_1000",3,9.14458221,9.268557193,0.00258281214583334,"MYC"
"13","MYC_1000",4,9.267831618,9.64415088,0.00783998462499998,"MYC"
"14","MYC_160",2,8.800579287,9.081775502,0.00585825447916666,"MYC"
"15","MYC_160",4,9.295230473,9.488752479,0.00403170845833334,"MYC"
"16","MYC_80",2,8.821124086,9.110020853,0.00601868264583335,"MYC"
"17","MYC_80",4,9.249712124,9.469596463,0.00458092372916667,"MYC"
"18","TP53R175H_MYC_0",2,8.660787104,8.959216324,0.00621727541666665,"TP53R175H_MYC"
"19","TP53R175H_MYC_0",4,9.236138447,9.428352614,0.00400446181249999,"TP53R175H_MYC"
"20","TP53R175H_MYC_1000",1,8.937459544,9.730509608,0.0165218763333334,"TP53R175H_MYC"
"21","TP53R175H_MYC_1000",2,8.655911023,9.506287592,0.0177161785208333,"TP53R175H_MYC"
"22","TP53R175H_MYC_1000",3,9.394458303,9.764851573,0.00771652645833332,"TP53R175H_MYC"
"23","TP53R175H_MYC_1000",4,9.376512153,10.06780724,0.0144019809791667,"TP53R175H_MYC"
"24","TP53R175H_MYC_160",1,8.958926519,9.373941345,0.00864614220833334,"TP53R175H_MYC"
"25","TP53R175H_MYC_160",2,8.56758113,9.216056001,0.0135098931458333,"TP53R175H_MYC"
"26","TP53R175H_MYC_160",3,9.300232839,9.53716296,0.00493604418750001,"TP53R175H_MYC"
"27","TP53R175H_MYC_160",4,9.290842837,9.745602831,0.00947416654166666,"TP53R175H_MYC"
"28","TP53R175H_MYC_80",1,8.86206606,9.070789974,0.004348414875,"TP53R175H_MYC"
"29","TP53R175H_MYC_80",2,8.606469443,8.984141825,0.007868174625,"TP53R175H_MYC"
"30","TP53R175H_MYC_80",3,9.324829287,9.36180031,0.000770229645833324,"TP53R175H_MYC"
