"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"1",0.75,3.71,"Asn",1,0.05,15,55.62032,"TM",0,16,1,50.91975,1.09231329690346,0.05,50,NA,NA,54.615664845173
"2",0.64,3.71,"Asn",1,0.05,12.8,47.488,"TM",100,16,1,50.91975,0.932604735883424,0.05,50,NA,NA,46.6302367941712
"3",0.589,3.71,"Asn",1,0.05,11.8,43.68896,"TM",1000,16,1,50.91975,0.85799635701275,0.05,50,NA,NA,42.8998178506375
"4",0.65,3.71,"Asn",1,0.05,13,48.23742,"TM",0,18,1,50.91975,0.947322404371585,0.05,50,NA,NA,47.3661202185792
"5",0.526,3.71,"Asn",1,0.05,10.5,39.02178,"TM",100,18,1,50.91975,0.766338797814208,0.05,50,NA,NA,38.3169398907104
"6",0.504,3.71,"Asn",1,0.05,10.1,37.38196,"TM",1000,18,1,50.91975,0.734134790528233,0.05,50,NA,NA,36.7067395264117
"7",0.568,3.71,"Asn",1,0.05,11.4,42.13818,"TM",0,20,1,50.91975,0.827540983606557,0.05,50,NA,NA,41.3770491803279
"8",0.554,3.71,"Asn",1,0.05,11.1,41.12164,"TM",100,20,1,50.91975,0.807577413479053,0.05,50,NA,NA,40.3788706739526
"9",0.452,3.71,"Asn",1,0.05,9.04,33.52356,"TM",1000,20,1,50.91975,0.658360655737705,0.05,50,NA,NA,32.9180327868852
"10",0.539,3.71,"Asn",1,0.05,10.8,39.9567,"TM",0,22,1,50.91975,0.784699453551913,0.05,50,NA,NA,39.2349726775956
"11",0.579,3.71,"Asn",1,0.05,11.6,42.97664,"TM",100,22,1,50.91975,0.844007285974499,0.05,50,NA,NA,42.200364298725
"12",0.487,3.71,"Asn",1,0.05,9.74,36.12056,"TM",1000,22,1,50.91975,0.70936247723133,0.05,50,NA,NA,35.4681238615665
"13",0.521,3.71,"Asn",1,0.05,10.4,38.68788,"TM",0,24,1,50.91975,0.759781420765027,0.05,50,NA,NA,37.9890710382514
"14",0.487,3.71,"Asn",1,0.05,9.73,36.11314,"TM",100,24,1,50.91975,0.709216757741348,0.05,50,NA,NA,35.4608378870674
"15",0.508,3.71,"Asn",1,0.05,10.2,37.71586,"TM",1000,24,1,50.91975,0.740692167577413,0.05,50,NA,NA,37.0346083788707
"16",0.477,3.71,"Asn",1,0.05,9.53,35.3563,"T",0,16,1,50.91975,0.694353369763206,0.05,50,NA,NA,34.7176684881603
"17",0.526,3.71,"Asn",1,0.05,10.5,39.05146,"T",100,16,1,50.91975,0.766921675774135,0.05,50,NA,NA,38.3460837887067
"18",0.502,3.71,"Asn",1,0.05,10,37.2484,"T",1000,16,1,50.91975,0.731511839708561,0.05,50,NA,NA,36.575591985428
"19",0.49,3.71,"Asn",1,0.05,9.8,36.36542,"T",0,18,1,50.91975,0.714171220400729,0.05,50,NA,NA,35.7085610200364
"20",0.418,3.71,"Asn",1,0.05,8.36,31.0156,"T",100,18,1,50.91975,0.609107468123862,0.05,50,NA,NA,30.4553734061931
"21",0.607,3.71,"Asn",1,0.05,12.1,45.05424,"T",1000,18,1,50.91975,0.884808743169399,0.05,50,NA,NA,44.2404371584699
"22",0.522,3.71,"Asn",1,0.05,10.4,38.72498,"T",0,20,1,50.91975,0.760510018214936,0.05,50,NA,NA,38.0255009107468
"23",0.517,3.71,"Asn",1,0.05,10.3,38.33172,"T",100,20,1,50.91975,0.752786885245902,0.05,50,NA,NA,37.6393442622951
"24",0.607,3.71,"Asn",1,0.05,12.1,45.01714,"T",1000,20,1,50.91975,0.88408014571949,0.05,50,NA,NA,44.2040072859745
"25",0.456,3.71,"Asn",1,0.05,9.12,33.82036,"T",0,22,1,50.91975,0.664189435336976,0.05,50,NA,NA,33.2094717668488
"26",0.479,3.71,"Asn",1,0.05,9.57,35.51954,"T",100,22,1,50.91975,0.697559198542805,0.05,50,NA,NA,34.8779599271403
"27",0.4,3.71,"Asn",1,0.05,8,29.68,"T",1000,22,1,50.91975,0.58287795992714,0.05,50,NA,NA,29.143897996357
"28",0.448,3.71,"Asn",1,0.05,8.96,33.22676,"T",0,24,1,50.91975,0.652531876138433,0.05,50,NA,NA,32.6265938069217
"29",0.525,3.71,"Asn",1,0.05,10.5,38.96984,"T",100,24,1,50.91975,0.765318761384335,0.05,50,NA,NA,38.2659380692168
"30",0.484,3.71,"Asn",1,0.05,9.69,35.94248,"T",1000,24,1,50.91975,0.705865209471767,0.05,50,NA,NA,35.2932604735883
"1",1.99,4.4,"Ser",1,0.05,39.8,175.12,"TM",0,16,1,239.096,0.732425469267575,0.25,250,NA,NA,183.106367316894
"2",2.31,4.4,"Ser",1,0.05,46.2,203.456,"TM",100,16,1,239.096,0.850938535149061,0.25,250,NA,NA,212.734633787265
"3",2.2,4.4,"Ser",1,0.05,44,193.6,"TM",1000,16,1,239.096,0.809716599190283,0.25,250,NA,NA,202.429149797571
"4",2.17,4.4,"Ser",1,0.05,43.5,191.224,"TM",0,18,1,239.096,0.799779168200221,0.25,250,NA,NA,199.944792050055
"5",2.09,4.4,"Ser",1,0.05,41.7,183.48,"TM",100,18,1,239.096,0.767390504232609,0.25,250,NA,NA,191.847626058152
"6",2.26,4.4,"Ser",1,0.05,45.2,198.88,"TM",1000,18,1,239.096,0.8317997791682,0.25,250,NA,NA,207.94994479205
"7",2.3,4.4,"Ser",1,0.05,45.9,201.96,"TM",0,20,1,239.096,0.844681634155318,0.25,250,NA,NA,211.17040853883
"8",2.06,4.4,"Ser",1,0.05,41.1,181.016,"TM",100,20,1,239.096,0.757085020242915,0.25,250,NA,NA,189.271255060729
"9",2.04,4.4,"Ser",1,0.05,40.7,179.08,"TM",1000,20,1,239.096,0.748987854251012,0.25,250,NA,NA,187.246963562753
"10",1.97,4.4,"Ser",1,0.05,39.4,173.36,"TM",0,22,1,239.096,0.725064409274936,0.25,250,NA,NA,181.266102318734
"11",2.11,4.4,"Ser",1,0.05,42.3,186.032,"TM",100,22,1,239.096,0.778064041221936,0.25,250,NA,NA,194.516010305484
"12",1.97,4.4,"Ser",1,0.05,39.5,173.712,"TM",1000,22,1,239.096,0.726536621273463,0.25,250,NA,NA,181.634155318366
"13",2.12,4.4,"Ser",1,0.05,42.4,186.384,"TM",0,24,1,239.096,0.779536253220464,0.25,250,NA,NA,194.884063305116
"14",1.95,4.4,"Ser",1,0.05,39,171.424,"TM",100,24,1,239.096,0.716967243283033,0.25,250,NA,NA,179.241810820758
"15",1.99,4.4,"Ser",1,0.05,39.7,174.68,"TM",1000,24,1,239.096,0.730585204269415,0.25,250,NA,NA,182.646301067354
