rxn,bigg_rxn
MAR06627,
MAR06614,
MAR04363,ENO
MAR04365,PGM
MAR04044,NDPK8
MAR04373,GAPD
MAR04368,PGK
MAR04332,
MAR04333,DHFR
MAR04394,HEX1
MAR04428,HISDC
MAR04381,PGI
MAR03992,
MAR04054,TMDK1
MAR04642,NTD1
MAR03819,G5SADs
MAR00103,C161CPT12
MAR02312,
MAR04483,TMDK1m
MAR07890,NDPK7m
MAR08452,CYTK12n
MAR04262,NMNS
MAR03956,HCO3Em
MAR04520,
MAR04137,
MAR02633,
MAR06571,
MAR06572,
MAR04354,PPM
MAR04452,GUAPRT
MAR03969,URIK3
MAR04446,MTHFR3
MAR03955,HCO3E
MAR03833,P5CR
MAR04572,NDPK5m
MAR08450,CYTK11n
MAR04774,
MAR04775,
MAR04548,
MAR03835,PRO1xm
MAR08456,CYTK14n
MAR04319,HEX7
