subsytem,TP53R175H_MYC,TP53R248Q_MYC,TP53R273H_MYC,MYC,EV
"Arginine and proline metabolism",10.2040816326531,12.2448979591837,6.12244897959184,4.08163265306122,0
"Carnitine shuttle (cytosolic)",7.27272727272727,3.63636363636364,3.63636363636364,1.81818181818182,0
"Carnitine shuttle (mitochondrial)",3.6697247706422,0.917431192660551,2.75229357798165,2.75229357798165,0
"Cysteine and methionine metabolism",12,12,12,0,0
"Exchange/demand reactions",4.76190476190476,4.76190476190476,3.06122448979592,2.89115646258503,0.170068027210884
"Fatty acid biosynthesis",1.96078431372549,0,1.96078431372549,0,0
"Fatty acid biosynthesis (even-chain)",3.33333333333333,0,3.33333333333333,0,0
"Fatty acid oxidation",1.8716577540107,1.60427807486631,0.802139037433155,2.40641711229947,0
"Folate metabolism",12.7272727272727,10.9090909090909,5.45454545454545,7.27272727272727,1.81818181818182
"Fructose and mannose metabolism",13.3333333333333,13.3333333333333,20,13.3333333333333,0
"Galactose metabolism",12.5,12.5,0,0,0
"Glycine, serine and threonine metabolism",16.2162162162162,2.7027027027027,0,0,0
"Glycolysis / Gluconeogenesis",33.3333333333333,27.2727272727273,27.2727272727273,30.3030303030303,0
"Histidine metabolism",12.5,12.5,12.5,0,0
"Inositol phosphate metabolism",2.46913580246914,0,2.46913580246914,0,0
"Lysine metabolism",8.69565217391304,8.69565217391304,8.69565217391304,8.69565217391304,0
"Miscellaneous",6.45161290322581,6.45161290322581,3.2258064516129,0,0
"Nucleotide metabolism",14.9532710280374,13.0841121495327,8.41121495327103,13.0841121495327,0
"Oxidative phosphorylation",11.1111111111111,11.1111111111111,11.1111111111111,0,0
"Pentose phosphate pathway",26.9230769230769,26.9230769230769,15.3846153846154,7.69230769230769,0
"Purine metabolism",9.78260869565217,3.26086956521739,7.60869565217391,4.34782608695652,0
"Pyrimidine metabolism",19.3548387096774,16.1290322580645,11.2903225806452,9.67741935483871,0
"Pyruvate metabolism",3.84615384615385,3.84615384615385,0,3.84615384615385,0
"Serotonin and melatonin biosynthesis",14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,0
"Transport reactions",3.85756676557863,3.20474777448071,2.9673590504451,2.49258160237389,0.118694362017804
"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",7.14285714285714,4.76190476190476,7.14285714285714,2.38095238095238,0
"Tryptophan metabolism",12.5,12.5,12.5,12.5,0
"Fatty acid activation (cytosolic)",0,1.49253731343284,0,1.49253731343284,0
"Glutathione metabolism",0,11.7647058823529,0,0,0
"Alanine, aspartate and glutamate metabolism",0,0,3.7037037037037,0,0
"Nicotinate and nicotinamide metabolism",0,0,0,15.3846153846154,0
