rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R175H_MYC_0,mean_sample_TP53R175H_MYC_1000,std_sample_TP53R175H_MYC_0,std_sample_TP53R175H_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR02633,"",Carnitine shuttle (cytosolic),ENSG00000110090,0.3012644679237,-1.66790446741222e-05,1.04530832549182,3.71632933204784e-05,-0.989,0,0.407607854515319,14.1407062486524+4.53236014182719i,0.301281146968375,MAM01191c; MAM02348c,MAM01597c; MAM02117c
MAR04054,"ATP:thymidine 5'-phosphotransferase",Nucleotide metabolism,ENSG00000167900,0.315422751797374,2.72502282880334e-05,1.77525890190034,0.000570427988970074,-0.977,0,0.251251562421116,13.4987307905669+0i,0.315395501569086,MAM01371c; MAM02996c,MAM01285c; MAM01752c; MAM02039c
MAR09066,"",Exchange/demand reactions,,-0.223857941974283,-0.444984515566552,0.00121706187454254,0.00152496042926554,-1,0,160.279914865251,-0.991171631785279+0i,0.221126573592269,MAM01365e,
MAR04582,"L-Arginine:glycine amidinotransferase","Glycine, serine and threonine metabolism",ENSG00000171766,0.217675889022241,0.431398674305105,0.00156757563259803,0.00176333172373429,1,0,128.106026905612,-0.986840127536417+0i,-0.213722785282864,MAM01365c; MAM01986c,MAM02036c; MAM02658c
MAR04583,"S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase",Arginine and proline metabolism,ENSG00000130005,-0.217675889022241,-0.431398674305105,0.00156757563259803,0.00176333172373429,-1,0,128.106026905612,-0.986840127536417+0i,0.213722785282864,MAM01619c; MAM02039c; MAM02871c,MAM02036c; MAM02877c
MAR04992,"",Transport reactions,ENSG00000130821,0.217675889022241,0.431398674305105,0.00156757563259803,0.00176333172373429,1,0,128.106026905612,-0.986840127536417+0i,-0.213722785282864,MAM01619c,MAM01619e
MAR09290,"",Exchange/demand reactions,,0.217675889022241,0.431398674305105,0.00156757563259803,0.00176333172373429,1,0,128.106026905612,-0.986840127536417+0i,-0.213722785282864,MAM01619e,
MAR04642,"2'-deoxyuridine 5'-monophosphate phosphohydrolase",Pyrimidine metabolism,ENSG00000125458 or ENSG00000205309,0.22366188771659,0.000923572616493995,1.02682641021878,0.0143567506417754,-0.901,0,0.306740027592877,7.91987832634922+0i,0.222738315100096,MAM01755c; MAM02040c,MAM01673c; MAM02751c
MAR05578,"",Transport reactions,ENSG00000103064 or ENSG00000103257 or ENSG00000168003,-0.223647539951953,-0.443262899639963,0.00403046514324011,0.0272272994088866,-0.996,0,11.2840807792716,-0.986935727137519+0i,0.219615359688009,MAM01365c; MAM02426e,MAM01365e; MAM02426c
MAR00105,"C161 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000178537,0.301466398177096,0.00338397274162077,1.04525813132368,0.0518460275240843,-0.972,0,0.402804420855881,6.47713544887018+0i,0.298082425435475,MAM02117c,MAM02117m
MAR00102,"C160 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000178537,-0.301666549708184,-0.00407160612899933,1.04531212151024,0.0527744789147128,0.867,0,0.402107128943646,6.21121291432843+0i,-0.297594943579185,MAM02411c,MAM02411m
MAR02626,"palmitoyl-CoA:L-carnitine O-palmitoyltransferase",Carnitine shuttle (cytosolic),ENSG00000110090,0.301641393208987,0.00407160612899933,1.04524728025506,0.0527744789147128,-0.867,0,0.40209801668196,6.21109260045859+0i,0.297569787079987,MAM01597c; MAM02411c,MAM02348c; MAM02678c
MAR02630,"palmitoyl-CoA:L-carnitine O-palmitoyltransferase",Carnitine shuttle (mitochondrial),ENSG00000095321 or ENSG00000157184,-0.301666549708184,-0.00407160612899933,1.04531212151024,0.0527744789147128,0.867,0,0.402107128943646,6.21121291432843+0i,-0.297594943579185,MAM01597m; MAM02411m,MAM02348m; MAM02678m
MAR00104,"C161 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000157184,0.30163578604046,0.00403301311477354,1.04531667458932,0.0527768427740754,-0.888,0,0.402115915031441,6.22480569254901+0i,0.297602772925687,MAM01597m; MAM02117m,MAM00051m; MAM02348m
MAR06332,"",Transport reactions,ENSG00000125454,0.346766569023457,0.00782126747626881,0.393601167923849,0.0577982813843675,-0.842,4.47755957630076e-312,1.20491268518772,5.47041858552455+0i,0.338945301547188,MAM01371m; MAM01637c,MAM01371c; MAM01637m
MAR04083,"ATP:adenosine 5'-phosphotransferase",Nucleotide metabolism,ENSG00000156110 or ENSG00000156136,0.337336300809675,0.0109083172595752,0.342247882828974,0.0681769559202663,-0.893,0,1.32285226426864,4.95068710463269+0i,0.3264279835501,MAM01280m; MAM01371m,MAM01285m; MAM01334m; MAM02039m
MAR05031,"",Transport reactions,ENSG00000112759,0.307432530597561,0.0109083172595752,1.01549419216037,0.0681769559202663,-0.893,0,0.412022714543,4.81676935941295+0i,0.296524213337986,MAM01280c,MAM01280m
MAR02028,"Trans-Hexadec-2-Enoyl Coenzyme A Reductase",Fatty acid oxidation,ENSG00000115425 or ENSG00000116353,-0.301763443257802,-0.012026274361223,1.04527792599461,0.0794421602702095,0.844,1.47976343329169e-313,0.39087398293343,4.64915636098899+0i,-0.289737168896579,MAM02554m; MAM02678m,MAM00051m; MAM02039m; MAM02555m
MAR13080,"Htmi",Transport reactions,ENSG00000102078 or ENSG00000153291 or ENSG00000175564,0.299147753661655,0.01786663824585,3.38651555403319,0.164489964354864,-0.107,9.37673963146423e-06,0.117325063804496,4.06551811950122+0i,0.281281115415806,MAM02039i,MAM02039m
MAR05304,"",Transport reactions,,-0.191444738428881,0.0107322677156822,1.76602290744006,0.221688048141316,0.874,0,0.160640620152228,4.15690115722497+4.53236014182719i,-0.202177006144563,MAM01752c,MAM01752m
MAR04448,"5-methyltetrahydrofolate:NAD+ oxidoreductase",Folate metabolism,ENSG00000177000,0.382804489742787,0.0245653088229327,1.82173326709478,0.324175325960021,-0.887,0,0.273800210093264,3.96191346948332+0i,0.358239180919854,MAM01045c; MAM02039c; MAM02553c,MAM01115c; MAM02552c
MAR05580,"",Transport reactions,ENSG00000103064 or ENSG00000103257,0.271340920287246,0.636740019623471,0.0658196283319365,0.475107018895978,0.99,0,1.07736521216929,-1.23059780813799+0i,-0.365399099336225,MAM02125c; MAM02426e,MAM02125e; MAM02426c
MAR07801,"",Nucleotide metabolism,ENSG00000147853,-0.317542880024566,-0.0484546567211702,1.03298145551525,0.546364853478066,0.869,0,0.325651784406252,2.71224419497202+0i,-0.269088223303396,MAM01285m; MAM01948m,MAM01334m; MAM02034m
MAR05029,"",Transport reactions,ENSG00000059804 or ENSG00000109667 or ENSG00000117394 or ENSG00000133460 or ENSG00000136856 or ENSG00000160326,-5.27412477918927,-11.6448342814036,0.310842485943812,0.578229161157356,-1,0,13.7239227681044,-1.14268649950549+0i,6.37070950221435,MAM01965c,MAM01965e
MAR09034,"",Exchange/demand reactions,,-5.27412477918927,-11.6448342814036,0.310842485943812,0.578229161157356,-1,0,13.7239227681044,-1.14268649950549+0i,6.37070950221435,MAM01965e,
MAR09073,"",Exchange/demand reactions,,0.519524760291551,0.894502581803393,1.52613554889341,0.875476420718696,0.938,0,0.301405907869258,-0.783893137439077+0i,-0.374977821511842,MAM02578e,
MAR04863,"",Transport reactions,ENSG00000183048,0.0471866706917671,0.287875903551632,0.129085712605585,0.949597209740669,0.786,4.88002988301164e-272,0.355186295130075,-2.60899574497088+0i,-0.240689232859865,MAM02943c; MAM02946m,MAM02943m; MAM02946c
MAR08742,"",Transport reactions,ENSG00000183048,-0.0464634300947299,-0.287873871055532,0.129838635879947,0.949597828692095,-0.785,2.38970102086109e-271,0.356212552591162,-2.63126928022373+0i,0.241410440960802,MAM01862c; MAM02946m,MAM01862m; MAM02946c
MAR03969,"",Pyrimidine metabolism,ENSG00000130717 or ENSG00000143179,0.018457390673327,0.231577344946268,0.13673749016119,0.98045373756998,0.937,0,0.304459147748539,-3.64922360406329+0i,-0.213119954272941,MAM02193c; MAM03123c,MAM02039c; MAM02161c; MAM03114c
MAR04774,"CTP:D-tagatose 6-phosphate 1-phosphotransferase",Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,-0.018457390673327,-0.231577344946268,0.13673749016119,0.98045373756998,-0.937,0,0.304459147748539,-3.64922360406329+0i,0.213119954272941,MAM01424c; MAM02039c; MAM02955c,MAM01623c; MAM01746c
MAR04775,"ITP:D-tagatose 6-phosphate 1-phosphotransferase",Galactose metabolism,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,-0.018457390673327,-0.231577344946268,0.13673749016119,0.98045373756998,-0.937,0,0.304459147748539,-3.64922360406329+0i,0.213119954272941,MAM01746c; MAM02193c,MAM02039c; MAM02161c; MAM02955c
MAR08465,"",Nucleotide metabolism,ENSG00000162368,0.0203994131850087,0.237313824407272,0.143035818322735,0.981771604355217,0.944,0,0.309194671067568,-3.5401965883437+0i,-0.216914411222263,MAM01424c,MAM01590c; MAM01623c
MAR08467,"",Nucleotide metabolism,ENSG00000162368,-0.0232859075105209,-0.243244773338357,0.166974208421065,0.986822713004698,-0.969,0,0.310804824205316,-3.38487979195872+0i,0.219958865827837,MAM01424c; MAM03106c,MAM01590c; MAM03130c
MAR04743,"",Transport reactions,,-0.0981422660998796,-0.353592934480802,0.312756814175156,1.00879159200264,-0.582,1.76121049818719e-149,0.342051636504988,-1.84914295832461+0i,0.255450668380922,MAM01074c,MAM01074m
MAR05124,"",Transport reactions,ENSG00000144659,0.0981422660998796,0.353592934480802,0.312756814175156,1.00879159200264,0.582,1.76121049818749e-149,0.342051636504988,-1.84914295832461+0i,-0.255450668380922,MAM01986c,MAM01986m
MAR04742,"succinyl-CoA:glycine C-succinyltransferase (decarboxylating)","Glycine, serine and threonine metabolism",ENSG00000023330 or ENSG00000178773,0.0979128721904308,0.353592919003357,0.312812051450171,1.00879159743305,0.586,1.56334050935805e-151,0.342353472820392,-1.8525189414188+0i,-0.255680046812927,MAM01986m; MAM02039m; MAM02944m,MAM01074m; MAM01596m; MAM01597m
MAR04147,"Succinate:CoA ligase (GDP-forming)",Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541),0.0640360960586655,0.346737093422976,0.490750751038761,1.01170564103649,0.575,6.34704908465466e-146,0.355551683305191,-2.43688492000637+0i,-0.282700997364311,MAM01597m; MAM02034m; MAM02943m,MAM01948m; MAM02751m; MAM02944m
MAR04680,"deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase",Nucleotide metabolism,ENSG00000183696,-0.219435492485771,0.19806512147971,1.02758971247615,1.05675598394389,0.898,0,0.40056670682472,0.147822043171643+4.53236014182719i,-0.417500613965481,MAM00639c; MAM03118c,MAM01673c; MAM02751c
