rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R248Q_MYC_0,mean_sample_TP53R248Q_MYC_1000,std_sample_TP53R248Q_MYC_0,std_sample_TP53R248Q_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR09066,"",Exchange/demand reactions,,-0.13455361046433,-0.429694235279897,0.00568569626360014,0.000994122174179163,-1,0,72.3138256770793,-1.67512931904136+0i,0.295140624815567,MAM01365e,
MAR04582,"L-Arginine:glycine amidinotransferase","Glycine, serine and threonine metabolism",ENSG00000171766,0.127341137574076,0.414930371093462,0.00579889922029551,0.00114303752986217,1,0,68.812115838132,-1.70417070266804+0i,-0.287589233519387,MAM01365c; MAM01986c,MAM02036c; MAM02658c
MAR04583,"S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase",Arginine and proline metabolism,ENSG00000130005,-0.127341137574076,-0.414930371093462,0.00579889922029551,0.00114303752986217,-1,0,68.812115838132,-1.70417070266804+0i,0.287589233519387,MAM01619c; MAM02039c; MAM02871c,MAM02036c; MAM02877c
MAR04992,"",Transport reactions,ENSG00000130821,0.127341137574076,0.414930371093462,0.00579889922029551,0.00114303752986217,1,0,68.812115838132,-1.70417070266804+0i,-0.287589233519387,MAM01619c,MAM01619e
MAR09290,"",Exchange/demand reactions,,0.127341137574076,0.414930371093462,0.00579889922029551,0.00114303752986217,1,0,68.812115838132,-1.70417070266804+0i,-0.287589233519387,MAM01619e,
MAR05578,"",Transport reactions,ENSG00000103064 or ENSG00000103257 or ENSG00000168003,-0.134169775920576,-0.428109239609495,0.0134296174577911,0.0153496882302612,-1,0,20.3818296353762,-1.67391925669429+0i,0.293939463688918,MAM01365c; MAM02426e,MAM01365e; MAM02426c
MAR05580,"",Transport reactions,ENSG00000103064 or ENSG00000103257,0.168514648287214,0.493381930897832,0.0468800148983365,0.0680079903109517,0.999,0,5.56210183159952,-1.54983087643532+0i,-0.324867282610618,MAM02125c; MAM02426e,MAM02125e; MAM02426c
MAR03877,"S-Adenosyl-L-homocysteine hydrolase",Cysteine and methionine metabolism,ENSG00000101444 or ENSG00000158467 or ENSG00000168710,0.138759782040691,0.44181039645642,0.134343939977126,0.205193130963366,0.995,0,1.74744401618432,-1.67083788825418+0i,-0.303050614415729,MAM02040c; MAM02871c,MAM01280c; MAM02133c
MAR03917,"5-methyltetrahydrofolate:L-homocysteine S-methyltransferase",Cysteine and methionine metabolism,ENSG00000116984,0.138759782040691,0.44181039645642,0.134343939977126,0.205193130963366,0.995,0,1.74744401618432,-1.67083788825418+0i,-0.303050614415729,MAM01115c; MAM02133c,MAM02039c; MAM02471c; MAM02980c
MAR03875,"ATP:L-methionine S-adenosyltransferase",Cysteine and methionine metabolism,ENSG00000038274 or ENSG00000168906,0.139169881584057,0.443395392126823,0.134851655236914,0.205563154849785,0.994,0,1.7500246289774,-1.6717467529727+0i,-0.304225510542766,MAM01371c; MAM02040c; MAM02471c,MAM02751c; MAM02759c; MAM02877c
MAR04548,"melatonin,NADPH---hemoprotein reductase:oxygen oxidoreductase",Serotonin and melatonin biosynthesis,ENSG00000138061,1.9564710159244,0.0096178878052637,1.7793386790742,0.304144317445912,-0.7,6.4769871523611e-216,1.5252323185945,7.66831792533795+0i,1.94685312811913,MAM01161c; MAM02039c,MAM02147c; MAM02460c
MAR08566,"",Tryptophan metabolism,ENSG00000138061,1.9564710159244,0.0096178878052637,1.7793386790742,0.304144317445912,-0.7,6.4769871523611e-216,1.5252323185945,7.66831792533795+0i,1.94685312811913,MAM02039c; MAM02460c; MAM02555c; MAM02630c,MAM01161c; MAM02040c; MAM02554c
MAR09386,"",Exchange/demand reactions,,1.9564710159244,0.0096178878052637,1.7793386790742,0.304144317445912,-0.7,6.4769871523611e-216,1.5252323185945,7.66831792533795+0i,1.94685312811913,MAM02147e,
MAR00103,"Carnitine O-Palmitoyltransferase",Fatty acid oxidation,ENSG00000110090,0.472703739723434,0.0116307695034651,1.21105264404333,0.364586623545272,-0.761,4.70926788036554e-255,0.515564227392412,5.34491782315973+0i,0.461072970219969,MAM02348c; MAM00051c,MAM01597c; MAM02117c
