rxn,rxnName,subsystem,associated_genes,mean_sample_MYC_0,mean_sample_MYC_1000,std_sample_MYC_0,std_sample_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR03992,"NADH:ferricytochrome-b5 oxidoreductase",Nicotinate and nicotinamide metabolism,ENSG00000065615 or ENSG00000100243 or ENSG00000159348 or ENSG00000215883,0.660681749449213,1.45960499107322e-05,1.71777626073628,0.000116100413308849,-0.82,5.11098432788498e-296,0.543915099872908,15.4660898827797+0i,0.660667153399302,MAM01823c; MAM02553c,MAM01825c; MAM02039c; MAM02552c
MAR09038,"",Exchange/demand reactions,,-0.773927347984153,-0.0129602639144818,1.91426634721333,0.00144695779078747,0.801,1.71477702117255e-282,0.56218387004471,5.90003113875223+0i,-0.760967084069671,MAM02125e,
MAR04957,"",Transport reactions,,0.224104738027279,0.000175682782606058,1.15594598483044,0.00502097516731034,-0.863,0,0.273957887057798,10.3169846251149+0i,0.223929055244673,MAM01587m,MAM01587c
MAR07846,"",Transport reactions,ENSG00000125454,0.305117735870893,0.000653084907938936,0.421556995482139,0.014596199967803,-0.833,1.86803649117863e-305,1.02078763863354,8.86787975836737+0i,0.304464650962954,MAM01371m; MAM01645c,MAM01371c; MAM01645m
MAR04483,"ATP:thymidine 5'-phosphotransferase",Nucleotide metabolism,ENSG00000166548,0.264726168975437,0.00295410593455132,1.20221530241228,0.0231602682191008,-0.97,0,0.30787573927254,6.48563544416023+0i,0.261772063040886,MAM01371m; MAM02996m,MAM01285m; MAM01752m; MAM02039m
MAR05033,"",Transport reactions,ENSG00000112759,0.264721790157317,0.00276435841432341,1.20221617478708,0.0232975918215729,-0.97,0,0.308092852179272,6.5813884614394+0i,0.261957431742993,MAM02996c,MAM02996m
MAR07890,"ATP:dCDP phosphotransferase",Nucleotide metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000155085 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,0.305117735870893,0.00365151747011478,0.421556995482139,0.0768879232712844,-0.83,2.89972562579924e-303,0.994927033571785,6.38472610010714+0i,0.301466218400778,MAM01285m; MAM01645m,MAM01371m; MAM01643m
MAR08452,"",Nucleotide metabolism,ENSG00000162368,0.303579699289876,0.00364869131502842,0.424233328927615,0.0768880424644912,-0.882,0,0.983814881986775,6.37855240730498+0i,0.299931007974848,MAM01643c,MAM01644c; MAM01645c
MAR07822,"",Transport reactions,ENSG00000125454,-0.299874914767305,-0.00466962499653343,0.434291020043445,0.0790578250628323,0.824,6.61584532825649e-299,0.945755962779277,6.00491033613036+0i,-0.295205289770771,MAM01643c; MAM01747m,MAM01643m; MAM01747c
MAR00103,"Carnitine O-Palmitoyltransferase",Fatty acid oxidation,ENSG00000110090,0.660610559997464,0.00502761636561537,1.71742694262108,0.087300606837433,-0.719,9.35767133179179e-228,0.539143043606407,7.03778165285791+0i,0.655582943631848,MAM02348c; MAM00051c,MAM01597c; MAM02117c
MAR02312,"Long-Chain-Fatty-Acid---Coa Ligase",Fatty acid oxidation,ENSG00000068366 or ENSG00000123983 or ENSG00000140284 or ENSG00000151726,0.660610559997464,0.00502761636561537,1.71742694262108,0.087300606837433,-0.719,9.35767133179179e-228,0.539143043606407,7.03778165285791+0i,0.655582943631848,MAM01371c; MAM01597c; MAM02675c,MAM01334c; MAM02759c; MAM00051c
MAR08456,"",Nucleotide metabolism,ENSG00000162368,-0.317461812918598,-0.0127905758607831,0.4377370119938,0.15713861115851,0.835,6.40244786194023e-307,0.926428559758683,4.63342993815039+0i,-0.304671237057815,MAM01643c; MAM03106c,MAM01644c; MAM03130c
