gene	46402_TM_0_1	46403_TM_1000_3	46404_MYC_0_7	46405_MYC_1000_9	46406_TM_0_25	46407_TM_1000_27	46408_MYC_0_31	46409_MYC_1000_33	46410_TM_0_73	46411_TM_1000_75	46412_MYC_0_79	46413_MYC_1000_81
ENSG00000000003	190	201	62	77	104	55	110	121	105	121	57	93
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	589	467	163	250	261	140	262	231	293	270	214	259
ENSG00000000457	145	113	35	80	71	61	101	79	105	114	77	71
ENSG00000000460	475	377	158	214	272	175	303	213	287	220	233	216
ENSG00000000938	1	0	0	0	0	0	0	1	0	0	8	0
ENSG00000000971	33	24	4	10	11	3	14	24	11	17	19	10
ENSG00000001036	870	631	241	413	308	259	425	334	456	434	406	475
ENSG00000001084	923	724	283	440	357	273	410	325	502	493	385	484
ENSG00000001167	1108	791	320	530	468	377	576	443	660	605	415	535
ENSG00000001460	188	100	63	70	77	45	129	64	140	93	99	110
ENSG00000001461	1367	1030	402	700	524	540	684	659	782	810	689	839
ENSG00000001497	1378	913	449	771	498	567	696	642	777	743	526	701
ENSG00000001561	5	5	0	4	5	3	6	2	4	2	6	3
ENSG00000001617	1253	601	517	533	465	339	738	402	756	482	635	497
ENSG00000001626	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000001629	783	487	212	308	348	234	403	318	429	387	315	383
ENSG00000001630	241	102	78	142	52	93	79	70	111	85	73	73
ENSG00000001631	107	60	30	47	53	33	62	57	78	59	65	44
ENSG00000002016	202	101	59	99	91	77	116	99	134	106	101	130
ENSG00000002079	33	9	3	11	5	5	19	13	7	11	7	6
ENSG00000002330	520	246	162	211	152	122	255	119	315	255	228	182
ENSG00000002549	981	749	295	584	383	357	530	458	510	569	386	551
ENSG00000002586	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587	3	10	0	10	0	1	2	8	3	6	2	9
ENSG00000002726	24	3	14	5	16	0	10	3	13	9	5	2
ENSG00000002745	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	6	3	6	3	0	2	2	4	7	5	7	3
ENSG00000002822	16	10	18	14	14	8	21	18	24	18	35	16
ENSG00000002834	4344	2024	1404	1603	1396	1028	1976	1176	2527	1708	1991	1746
ENSG00000002919	314	181	92	134	98	87	141	108	184	136	117	114
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	1659	1096	528	815	670	577	878	639	834	821	635	762
ENSG00000003096	129	158	38	76	68	45	65	74	66	88	57	89
ENSG00000003137	307	80	85	88	134	59	138	73	186	113	130	92
ENSG00000003147	33	57	13	49	28	47	51	62	13	26	16	38
ENSG00000003249	34	61	20	47	33	46	48	58	26	62	27	46
ENSG00000003393	690	396	204	285	276	166	387	230	335	303	286	351
ENSG00000003400	18	9	7	13	5	1	20	6	11	13	10	14
ENSG00000003402	671	303	190	238	266	149	377	253	357	237	285	258
ENSG00000003436	227	142	47	109	108	44	120	75	126	83	95	92
ENSG00000003509	234	243	80	122	91	76	122	133	125	125	88	138
ENSG00000003756	1163	591	364	433	439	337	614	485	610	546	487	543
ENSG00000003987	4	0	0	1	0	0	1	1	0	2	0	0
ENSG00000003989	2167	1599	581	953	639	639	784	729	1342	1229	974	1033
ENSG00000004059	787	405	252	408	294	230	419	256	479	287	397	332
ENSG00000004139	7	9	4	8	3	3	3	3	7	6	3	5
ENSG00000004142	2346	1487	809	1213	945	965	1270	1050	1295	1152	1017	1084
ENSG00000004399	416	298	146	187	115	173	217	166	290	280	200	255
ENSG00000004455	3829	3071	1128	2188	1476	1505	1980	1947	1969	2288	1490	2217
ENSG00000004468	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004478	7114	5832	2163	4036	2585	3457	3653	3524	4045	4958	2946	4010
ENSG00000004487	3846	2625	1203	1780	1565	1289	1888	1449	2223	2103	1543	1982
ENSG00000004534	1218	770	376	581	545	405	695	537	686	634	529	660
ENSG00000004660	386	380	139	319	157	213	210	231	231	325	215	297
ENSG00000004700	903	792	251	340	444	221	418	277	471	341	300	296
ENSG00000004766	180	138	49	76	97	55	98	69	99	80	64	73
ENSG00000004776	5	2	0	4	1	0	0	0	1	2	2	3
ENSG00000004777	81	33	49	35	34	28	61	24	77	46	41	60
ENSG00000004779	787	663	272	453	377	293	352	337	398	520	321	346
ENSG00000004799	9	5	3	2	5	0	3	2	9	10	1	9
ENSG00000004809	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	1	1	3	1	4	2	2	6	4	2	0	3
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	2	0	0	0	0	0	1	0	0	0	0	1
ENSG00000004864	945	718	302	481	405	406	495	396	531	573	436	471
ENSG00000004866	295	163	106	131	109	83	131	115	162	154	123	150
ENSG00000004897	1594	1289	457	616	831	395	841	589	785	766	591	662
ENSG00000004939	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	556	391	157	294	215	160	265	207	286	300	209	288
ENSG00000004975	700	423	285	302	277	266	372	281	418	383	341	397
ENSG00000005001	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	3266	2107	1027	1639	1214	1335	1913	1446	1826	1710	1330	1466
ENSG00000005020	267	186	91	119	163	101	219	122	193	132	150	164
ENSG00000005022	5637	3709	1679	2605	1990	1899	2751	2092	3050	2882	2247	2463
ENSG00000005059	271	188	86	117	120	63	111	81	136	111	130	131
ENSG00000005073	19	22	6	9	1	8	9	8	6	12	7	10
ENSG00000005075	408	244	125	243	119	105	233	134	218	164	162	227
ENSG00000005100	1785	1399	581	971	686	667	989	864	987	1100	739	900
ENSG00000005102	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000005108	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000005156	1245	1018	416	700	429	509	665	576	686	814	588	735
ENSG00000005175	389	426	79	205	249	139	170	191	206	279	168	204
ENSG00000005187	15	17	2	7	9	5	12	9	9	17	7	11
ENSG00000005189	99	53	49	47	41	30	50	29	49	24	41	37
ENSG00000005194	1173	766	375	585	468	434	610	478	581	588	457	495
ENSG00000005206	305	190	171	180	177	151	244	158	248	220	207	166
ENSG00000005238	255	75	78	78	96	50	182	79	154	79	112	101
ENSG00000005243	5	2	0	1	0	0	0	1	1	3	0	1
ENSG00000005249	12	22	1	0	7	11	2	2	11	20	11	15
ENSG00000005302	460	272	151	223	202	141	246	152	255	204	209	216
ENSG00000005339	2886	1618	926	1200	881	973	1558	1196	1699	1431	1161	1271
ENSG00000005379	0	0	0	0	0	1	0	2	0	1	1	2
ENSG00000005381	22	18	0	10	2	2	2	5	11	5	2	3
ENSG00000005421	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	305	385	92	200	169	103	150	149	156	196	133	154
ENSG00000005448	137	61	51	59	65	38	101	41	79	47	69	51
ENSG00000005469	156	97	43	74	89	34	84	69	87	52	58	46
ENSG00000005471	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000005483	783	552	249	340	391	224	497	316	482	386	343	446
ENSG00000005486	618	370	252	296	216	215	380	285	399	264	296	283
ENSG00000005513	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700	850	660	267	366	421	239	473	341	460	450	327	362
ENSG00000005801	428	341	160	270	183	108	222	233	217	271	208	225
ENSG00000005810	2314	2157	624	1279	965	990	1241	1314	1358	1614	1014	1345
ENSG00000005812	443	333	160	210	199	115	210	174	220	182	166	177
ENSG00000005844	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000005882	78	39	25	28	38	27	60	39	46	45	29	58
ENSG00000005884	11821	3984	4191	3826	4633	2732	7862	3488	6256	3264	4968	3617
ENSG00000005889	1377	967	412	614	612	384	767	583	794	716	574	602
