"condition","metabolite","replicate","flux_mmol_cell_h","R2"
"EV_0","Arg",1,-6.27831083346466e-11,0.626766612109061
"EV_0","Asn",2,-6.29851059179368e-12,0.545942440268068
"EV_0","Glucose",1,-1.56151262475813e-09,0.995154222444895
"EV_0","Lactate",1,6.57721946374672e-10,0.921284776041787
"EV_0","Met",1,-7.80853420041761e-12,0.560841242422925
"EV_0","Ser",1,-3.2232670459752e-11,0.719727210022257
"EV_0","Ser",2,-3.06424712697885e-11,0.699676040474961
"EV_0","Thr",1,-3.29135276996805e-11,0.613003021796863
"EV_0","Trp",1,-5.36131516307953e-12,0.759035306546746
"EV_0","Trp",2,-3.82778652302431e-12,0.582693313374342
"EV_0","Val",1,-3.0843231547557e-11,0.965556932631974
"EV_0","Val",2,-2.82975057072002e-11,0.821965012953175
"EV_1000","Arg",1,-4.97653421946807e-11,0.672630819225285
"EV_1000","Arg",2,-3.89133347204153e-11,0.506618213703919
"EV_1000","Asn",1,-5.48405727658454e-12,0.683288335567267
"EV_1000","Glucose",1,-1.44688696504025e-09,0.987939894300663
"EV_1000","Lactate",1,7.12307425384858e-10,0.961476588122637
"EV_1000","Met",1,-1.10814517173019e-11,0.541182070452688
"EV_1000","Ser",1,-2.51909322106843e-11,0.605893165077487
"EV_1000","Ser",2,-3.61686511782137e-11,0.750453630503352
"EV_1000","Thr",1,-3.51111262112924e-11,0.589018962561752
"EV_1000","Thr",2,-3.07946640408867e-11,0.676950245972274
"EV_1000","Trp",2,-5.66529826950233e-12,0.7078965630405
"EV_1000","Val",1,-2.96694214512621e-11,0.857065139867443
"EV_1000","Val",2,-2.50171152463659e-11,0.80605192948878
"MYC_0","Arg",1,-8.38823333854901e-11,0.75599031362567
"MYC_0","Arg",2,-6.22146268414468e-11,0.808685691521344
"MYC_0","Asn",1,-7.47792419972442e-12,0.739928708410549
"MYC_0","Asn",2,-8.20024007709339e-12,0.753542133025647
"MYC_0","Glucose",1,-2.03670785832946e-09,0.98056721881101
"MYC_0","Lactate",1,6.24609367018261e-10,0.462324921978909
"MYC_0","Met",1,-2.02906185909971e-11,0.847160680243178
